model,dataset,signal,mean_delta,median_delta,frac_positive,n_prompts
mixtral,gsm8k,focused_head_mean_zscore,-0.034543143027357615,-0.05132037116348376,0.39436619718309857,71
mixtral,gsm8k,focused_head_rate,-0.0005228059330621431,-0.0007767270774975826,0.39436619718309857,71
mixtral,gsm8k,hidden_max_abs_last_layer_mean,0.9922524442969626,1.6321732215391194,0.5633802816901409,71
mixtral,gsm8k,hidden_max_abs_last_layer_mean_zscore,0.06937088556691869,0.11410937048081798,0.5633802816901409,71
mixtral,gsm8k,hidden_std_last_layer_mean,0.018189461528780843,0.005262776890925025,0.5070422535211268,71
mixtral,gsm8k,hidden_std_last_layer_mean_zscore,0.10035088020724775,0.02903463043713783,0.5070422535211268,71
mixtral,gsm8k,high_entropy_frac,3.260302556077204e-05,0.0,0.014084507042253521,71
mixtral,gsm8k,high_entropy_steps,0.004694835680751174,0.0,0.014084507042253521,71
mixtral,gsm8k,inf_detected,0.0,0.0,0.0,71
mixtral,gsm8k,l2_norm_cross_layer_max,5.023323627065125,6.07412283761164,0.5915492957746479,71
mixtral,gsm8k,l2_norm_cross_layer_max_zscore,0.15247332382726866,0.18436831212622082,0.5915492957746479,71
mixtral,gsm8k,l2_norm_last_layer_mean,1.1653170454231139,0.3368432597175115,0.5070422535211268,71
mixtral,gsm8k,l2_norm_last_layer_mean_zscore,0.10046386755065499,0.029039802311741747,0.5070422535211268,71
mixtral,gsm8k,l2_norm_slope,-0.026245316144050426,-0.018516730578033082,0.4225352112676056,71
mixtral,gsm8k,late50p_entropy_mean,0.03530198433668548,0.02314341353793556,0.5633802816901409,71
mixtral,gsm8k,late50p_margin_mean,-0.012671840845330422,-0.004862574226835892,0.4647887323943662,71
mixtral,gsm8k,late50p_surprisal_mean,0.02960685996113453,0.025430539697554683,0.5633802816901409,71
mixtral,gsm8k,margin_diff_std,0.011045599598655217,0.007819662036215425,0.5633802816901409,71
mixtral,gsm8k,margin_early_late_delta,-0.009569730808576638,-0.003874797355693016,0.4507042253521127,71
mixtral,gsm8k,margin_max,0.0,0.0,0.0,71
mixtral,gsm8k,margin_mean,-0.014041340472811763,-0.014104313612011365,0.36619718309859156,71
mixtral,gsm8k,margin_min,-0.0011783815865385543,-0.0025404468178749084,0.4225352112676056,71
mixtral,gsm8k,margin_p90,0.0,0.0,0.0,71
mixtral,gsm8k,margin_range,0.0011783815865385515,0.0025404468178749084,0.5774647887323944,71
mixtral,gsm8k,margin_slope,-6.599841179873057e-06,-4.9841040564290546e-05,0.4507042253521127,71
mixtral,gsm8k,margin_std,0.010896385393945971,0.01032340832208084,0.6056338028169014,71
mixtral,gsm8k,max_compound_severity,-0.01371562709590878,0.0,0.30985915492957744,71
mixtral,gsm8k,mid_layer_anomaly,0.0,0.0,0.0,71
mixtral,gsm8k,n_compound_signals,-0.034289067739771965,0.0,0.11267605633802817,71
mixtral,gsm8k,n_warning_signals,0.11695171026156942,0.0,0.49295774647887325,71
mixtral,gsm8k,nan_detected,0.0,0.0,0.0,71
mixtral,gsm8k,perplexity_max,0.32737394788424057,-0.2189293885291601,0.4507042253521127,71
mixtral,gsm8k,perplexity_mean,0.050465408863071354,0.04695268651362228,0.6338028169014085,71
mixtral,gsm8k,repetition_detected,0.0,0.0,0.0,71
mixtral,gsm8k,risk_score,-0.010352486241059038,0.0,0.11267605633802817,71
mixtral,gsm8k,risk_score_is_one,-0.034289067739771965,0.0,0.11267605633802817,71
mixtral,gsm8k,risk_score_is_zero,0.0,0.0,0.0,71
mixtral,gsm8k,surprisal_diff_std,0.06916297549163059,0.09781228433782041,0.676056338028169,71
mixtral,gsm8k,surprisal_early_late_delta,0.02050913320391799,0.018360986132813145,0.5352112676056338,71
mixtral,gsm8k,surprisal_max,0.16292700973974492,0.1909861834386657,0.5492957746478874,71
mixtral,gsm8k,surprisal_mean,0.03627188534572284,0.04392465126215017,0.6619718309859155,71
mixtral,gsm8k,surprisal_min,0.0,0.0,0.0,71
mixtral,gsm8k,surprisal_p90,0.1279724210853266,0.17645742384572127,0.647887323943662,71
