model,dataset,signal,pp_easy,pp_medium,pp_hard,pp_range,best_band
qwen,gsm8k,surprisal_mean,0.6299483648881239,0.5002765996680804,0.574242453245535,0.12967176522004353,easy
qwen,humaneval,collapsed_rate_mean,,0.7733333333333333,0.7225710836138776,0.050762249719455754,medium
qwen,humaneval,compound_density_per_100t,,0.8078787878787878,0.8708996365169508,0.06302084863816304,hard
qwen,humaneval,concentration_min_mean,,0.7733333333333334,0.836490120799024,0.06315678746569053,hard
qwen,humaneval,early10_entropy_mean,,0.703030303030303,0.6451376955557968,0.0578926074745062,medium
qwen,humaneval,early10_surprisal_mean,,0.703030303030303,0.6045125558160482,0.09851774721425477,medium
qwen,humaneval,entropy_mean,,0.8569696969696969,0.6551574347934407,0.20181226217625625,medium
qwen,humaneval,entropy_std,,0.8448484848484848,0.6867338269207428,0.15811465792774204,medium
qwen,humaneval,focused_head_rate,,0.7624242424242424,0.7712675912380783,0.00884334881383586,hard
qwen,humaneval,hidden_max_abs_last_layer_mean,,0.646060606060606,0.7094052037485387,0.06334459768793266,hard
qwen,humaneval,l2_norm_slope,,0.8303030303030303,0.8288627260589878,0.0014403042440425118,medium
qwen,humaneval,margin_mean,,0.8557575757575757,0.6356545569531306,0.22010301880444516,medium
qwen,humaneval,margin_std,,0.8581818181818182,0.6372515826524681,0.2209302355293501,medium
qwen,humaneval,perplexity_mean,,0.8472727272727273,0.6737659782421219,0.17350674903060537,medium
qwen,humaneval,risk_score,,0.776969696969697,0.5955819881053526,0.1813877088643444,medium
qwen,humaneval,surprisal_mean,,0.8412121212121212,0.6753310634274727,0.16588105778464846,medium
