model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
mixtral,gsm8k,medium,0.33,0.67,focused_head_rate,0.6269361413043478,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,entropy_std,0.6484714673913043,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,margin_std,0.6313858695652175,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,perplexity_mean,0.6582880434782609,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,collapsed_rate_mean,0.5616847826086957,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.524898097826087,448,0.8214285714285714
mixtral,gsm8k,hard,0.67,1.01,entropy_mean,0.5866703049321236,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,surprisal_mean,0.5910362234804557,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,margin_mean,0.592264138072174,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,l2_norm_slope,0.5261614025513337,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,compound_density_per_100t,0.5095845555631353,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,early10_surprisal_mean,0.5546080905928099,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,early10_entropy_mean,0.5004434136025651,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,risk_score,0.5016031107169656,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,concentration_min_mean,0.5155194760897742,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,focused_head_rate,0.5275257520976874,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,entropy_std,0.5693430656934306,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,margin_std,0.5945153148236578,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,perplexity_mean,0.5780066853127772,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,collapsed_rate_mean,0.5220683539122724,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5305955385769834,244,0.4385245901639344
mixtral,humaneval,medium,0.33,0.67,entropy_mean,0.5378787878787878,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,surprisal_mean,0.6856060606060606,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,margin_mean,0.6590909090909091,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,l2_norm_slope,0.6174242424242424,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,compound_density_per_100t,0.6420454545454546,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,early10_surprisal_mean,0.8560606060606061,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,early10_entropy_mean,0.5416666666666667,70,0.05714285714285714
