model,signal,correlation,p_value,raw_auroc,predictive_power,direction,n
mistral7b,l2_norm_last_layer_mean,-0.002582585752787386,0.8762219071998061,0.48029289593366487,0.5197071040663351,lower_more_failure,3640
mistral7b,l2_norm_last_layer_mean_zscore,-0.002582585752787385,0.8762219071998061,0.48029289593366487,0.5197071040663351,lower_more_failure,3640
mistral7b,l2_norm_slope,0.22655910790924308,1.372197281562767e-43,0.6950467797999542,0.6950467797999542,higher_more_failure,3640
mistral7b,late50p_entropy_mean,0.19118336806911904,2.6383561917067503e-31,0.6395794153116158,0.6395794153116158,higher_more_failure,3640
mistral7b,late50p_margin_mean,-0.2246880657100798,6.9781284020224745e-43,0.3526820155906393,0.6473179844093607,lower_more_failure,3640
mistral7b,late50p_surprisal_mean,0.1567159944641033,1.8951705585399765e-21,0.6233197499822655,0.6233197499822655,higher_more_failure,3640
mistral7b,margin_diff_std,0.19759384861963925,2.2963603656201445e-33,0.6191391255684908,0.6191391255684908,higher_more_failure,3640
mistral7b,margin_early_late_delta,-0.13064319393203416,2.50760253549173e-15,0.4199440376445366,0.5800559623554634,lower_more_failure,3640
mistral7b,margin_mean,-0.19711700895213333,3.286899079772455e-33,0.37112720795138365,0.6288727920486163,lower_more_failure,3640
mistral7b,margin_min,-0.19973003144025345,4.5538679201040885e-34,0.3785790290925428,0.6214209709074572,lower_more_failure,3640
mistral7b,margin_range,0.19973003144025345,4.5538679201040885e-34,0.6214209709074572,0.6214209709074572,higher_more_failure,3640
mistral7b,margin_slope,-0.22086145116522202,1.854961119957282e-41,0.369368255945015,0.630631744054985,lower_more_failure,3640
mistral7b,margin_std,0.18428924170817895,3.6031987416142727e-29,0.6104783599088838,0.6104783599088838,higher_more_failure,3640
mistral7b,max_compound_severity,0.06450857988864923,9.832913120576748e-05,0.5112854789510606,0.5112854789510606,higher_more_failure,3640
mistral7b,n_compound_signals,0.06450857988864903,9.832913120577294e-05,0.5112854789510606,0.5112854789510606,higher_more_failure,3640
mistral7b,n_warning_signals,-0.13108519131508947,2.0176954110288987e-15,0.43298578871452104,0.567014211285479,lower_more_failure,3640
mistral7b,perplexity_max,-0.1998349712714757,4.203917125544627e-34,0.4123985780832499,0.58760142191675,lower_more_failure,3640
mistral7b,perplexity_mean,-0.0011420344178244613,0.9450866913524583,0.5353232811280749,0.5353232811280749,higher_more_failure,3640
mistral7b,risk_score,0.0602591411704331,0.000275151401716378,0.5113056569271149,0.5113056569271149,higher_more_failure,3640
mistral7b,risk_score_is_one,0.06450857988864903,9.832913120577294e-05,0.5112854789510606,0.5112854789510606,higher_more_failure,3640
mistral7b,surprisal_diff_std,0.032134215678213465,0.05255378231836916,0.5287294968905423,0.5287294968905423,higher_more_failure,3640
mistral7b,surprisal_early_late_delta,0.15131493686129285,4.3528714455666737e-20,0.5873301227230808,0.5873301227230808,higher_more_failure,3640
mistral7b,surprisal_max,0.020134722529214055,0.2245636182815398,0.5125122368389939,0.5125122368389939,higher_more_failure,3640
mistral7b,surprisal_mean,0.08517980396753815,2.6511779828229717e-07,0.5727433377209922,0.5727433377209922,higher_more_failure,3640
mistral7b,surprisal_p90,0.12363234142240936,7.143416760398059e-14,0.6035383972696675,0.6035383972696675,higher_more_failure,3640
mistral7b,surprisal_range,0.020134722529214055,0.2245636182815398,0.5125122368389939,0.5125122368389939,higher_more_failure,3640
mistral7b,surprisal_slope,0.20078281853977076,2.0375659431612963e-34,0.6373547934516163,0.6373547934516163,higher_more_failure,3640
mistral7b,surprisal_std,0.0017658964960468272,0.9151822547784028,0.510283989248922,0.510283989248922,higher_more_failure,3640
mistral7b,surprisal_volatility,-0.19655431952290117,6.103845905412484e-32,0.384367408023838,0.615632591976162,lower_more_failure,3514
mistral7b,topk_mass_mean,0.254890606557812,4.4233288273745654e-55,0.6902912407090668,0.6902912407090668,higher_more_failure,3640
mistral7b,topk_mass_std,-0.2969780289624717,5.109626966605682e-75,0.3281525328877364,0.6718474671122636,lower_more_failure,3640
mistral7b,warning_density_per_100t,-0.2693028395352448,1.6341213330059246e-61,0.31766581803564253,0.6823341819643575,lower_more_failure,3640
mixtral,attention_collapse_detected,0.007774870362342924,0.6400017287386882,0.5001924041482132,0.5001924041482132,higher_more_failure,3621
mixtral,attn_entropy_norm_mean,0.4910263771827306,4.148912510022161e-219,0.7890467042878543,0.7890467042878543,higher_more_failure,3621
mixtral,attn_entropy_norm_std,-0.47754597005750504,1.0855383330580252e-205,0.2020208019851641,0.7979791980148359,lower_more_failure,3621
mixtral,collapsed_rate_mean,-0.5182013094036578,4.662320122334182e-248,0.1698749254581994,0.8301250745418006,lower_more_failure,3621
mixtral,collapsed_rate_mean_zscore,-0.5182013094036577,4.662320122334182e-248,0.1698749254581994,0.8301250745418006,lower_more_failure,3621
mixtral,compound_density_per_100t,-0.09367065106659456,1.6319518485520078e-08,0.48546206440005446,0.5145379355999455,lower_more_failure,3621
mixtral,concentration_max_mean,-0.39637557664683476,1.5957306912990951e-136,0.2512166981755958,0.7487833018244042,lower_more_failure,3621
mixtral,concentration_min_mean,-0.10770524269924625,8.149937804758055e-11,0.3777401092083914,0.6222598907916086,lower_more_failure,3621
mixtral,cs_confident_repetition_risk,0.08345586543075019,4.931056157567071e-07,0.5188002712949256,0.5188002712949256,higher_more_failure,3621
mixtral,early10_entropy_mean,0.02700339257735627,0.10423556022928883,0.5437972422410531,0.5437972422410531,higher_more_failure,3621
mixtral,early10_entropy_slope,0.5098831015774201,6.45676408355306e-239,0.8158841215980679,0.8158841215980679,higher_more_failure,3621
mixtral,early10_margin_mean,-0.022355958956080942,0.17863564967544363,0.4726863951145253,0.5273136048854747,lower_more_failure,3621
mixtral,early10_margin_slope,-0.47346322797371576,9.596812271081707e-202,0.20470769122467863,0.7952923087753214,lower_more_failure,3621
mixtral,early10_surprisal_mean,0.030331175042929783,0.06800700093259075,0.5443775006616536,0.5443775006616536,higher_more_failure,3621
mixtral,early10_surprisal_slope,0.43767882536359665,2.3278792816767914e-169,0.7849859106689708,0.7849859106689708,higher_more_failure,3621
mixtral,early25p_entropy_mean,0.24220094647606802,1.6973371814927187e-49,0.6696540922010155,0.6696540922010155,higher_more_failure,3621
mixtral,early25p_entropy_slope,0.12301799371716472,1.1263503130761383e-13,0.5470512638409252,0.5470512638409252,higher_more_failure,3618
mixtral,early25p_margin_mean,-0.2938769739186441,4.70523761435079e-73,0.3100921983079265,0.6899078016920734,lower_more_failure,3621
mixtral,early25p_margin_slope,-0.11823319099118318,9.729327759781208e-13,0.44542125262343224,0.5545787473765678,lower_more_failure,3618
mixtral,early25p_surprisal_mean,0.22203215705246165,1.1092819374614998e-41,0.6599381057684693,0.6599381057684693,higher_more_failure,3621
mixtral,early25p_surprisal_slope,0.08436702466078494,3.7354166759280904e-07,0.5381223564396512,0.5381223564396512,higher_more_failure,3618
mixtral,early50p_entropy_mean,0.186576391974917,1.0110452990747457e-29,0.6295319891779859,0.6295319891779859,higher_more_failure,3621
mixtral,early50p_entropy_slope,0.044044600089851595,0.00803147279151606,0.44976457990237984,0.5502354200976202,lower_more_failure,3621
mixtral,early50p_margin_mean,-0.23672080068043477,2.676837358556345e-47,0.3451478279822304,0.6548521720177696,lower_more_failure,3621
mixtral,early50p_margin_slope,-0.029708879902389764,0.07385645644875208,0.5544584965468786,0.5544584965468786,higher_more_failure,3621
mixtral,early50p_surprisal_mean,0.1780926916090648,3.463788352064536e-27,0.6273250103732404,0.6273250103732404,higher_more_failure,3621
mixtral,early50p_surprisal_slope,0.02859779984973196,0.08531924522895093,0.4438729855099539,0.5561270144900461,lower_more_failure,3621
mixtral,entropy_diff_std,0.08230234903353353,7.077390756101899e-07,0.5482849801571589,0.5482849801571589,higher_more_failure,3621
mixtral,entropy_early_late_delta,-0.24814932022019517,6.228604641207392e-52,0.33080703130636424,0.6691929686936358,lower_more_failure,3620
mixtral,entropy_max,-0.08603340069721349,2.1617042506437081e-07,0.4474095328217448,0.5525904671782552,lower_more_failure,3621
mixtral,entropy_mean,0.1049290217098743,2.4615524460122374e-10,0.5716438929197304,0.5716438929197304,higher_more_failure,3621
mixtral,entropy_p90,0.16853795548344233,1.7638922311026824e-24,0.6057276870415383,0.6057276870415383,higher_more_failure,3621
mixtral,entropy_range,-0.08603340069721349,2.1617042506437081e-07,0.4474095328217448,0.5525904671782552,lower_more_failure,3621
mixtral,entropy_range_approx,-0.10637160549617873,1.390894226817922e-10,0.4356474966477343,0.5643525033522657,lower_more_failure,3621
mixtral,entropy_slope,-0.0008329792542590016,0.960037107797085,0.40450103867780274,0.5954989613221973,lower_more_failure,3621
mixtral,entropy_std,0.04724100657010381,0.004464600930571391,0.5321849665517995,0.5321849665517995,higher_more_failure,3621
mixtral,failure_risk,-0.03866245652393654,0.019988159763617862,0.4967910643249203,0.5032089356750797,lower_more_failure,3621
mixtral,focused_head_mean,-0.5259255578466722,8.897929590009615e-257,0.1679791438641522,0.8320208561358478,lower_more_failure,3621
mixtral,focused_head_mean_zscore,-0.5259255578466722,8.897929590009615e-257,0.1679791438641522,0.8320208561358478,lower_more_failure,3621
mixtral,focused_head_rate,-0.5259255578466722,8.897929590009615e-257,0.1679791438641522,0.8320208561358478,lower_more_failure,3621
mixtral,hidden_max_abs_last_layer_mean,-0.461339101204794,2.457003333342603e-190,0.20928342400188446,0.7907165759981155,lower_more_failure,3621
mixtral,hidden_max_abs_last_layer_mean_zscore,-0.461339101204794,2.457003333342603e-190,0.20928342400188446,0.7907165759981155,lower_more_failure,3621
mixtral,hidden_std_last_layer_mean,-0.012496571260162213,0.4522027892998084,0.4389307202920888,0.5610692797079112,lower_more_failure,3621
mixtral,hidden_std_last_layer_mean_zscore,-0.012496571260162216,0.4522027892998084,0.4389307202920888,0.5610692797079112,lower_more_failure,3621
mixtral,high_entropy_frac,-0.0907805086306212,4.447099758382038e-08,0.47940311055065155,0.5205968894493485,lower_more_failure,3621
mixtral,high_entropy_steps,-0.10391133190389831,3.6653299580430284e-10,0.47940311055065155,0.5205968894493485,lower_more_failure,3621
mixtral,l2_norm_cross_layer_max,0.19451015962993268,3.321973441898436e-32,0.6273894835310849,0.6273894835310849,higher_more_failure,3621
mixtral,l2_norm_cross_layer_max_zscore,0.1945101596299327,3.321973441897893e-32,0.6273894835310849,0.6273894835310849,higher_more_failure,3621
mixtral,l2_norm_last_layer_mean,-0.01219973255955956,0.46301599695347895,0.43912227833586825,0.5608777216641317,lower_more_failure,3621
mixtral,l2_norm_last_layer_mean_zscore,-0.012199732559559527,0.46301599695347895,0.43912227833586825,0.5608777216641317,lower_more_failure,3621
mixtral,l2_norm_slope,-0.01597927767625703,0.3364122311911778,0.4469511134395905,0.5530488865604095,lower_more_failure,3621
mixtral,late50p_entropy_mean,-0.02644621730067484,0.11158184818952083,0.5006530234018949,0.5006530234018949,higher_more_failure,3621
mixtral,late50p_margin_mean,-0.005356977205934635,0.7472665242429646,0.4868398608598181,0.5131601391401819,lower_more_failure,3621
mixtral,late50p_surprisal_mean,-0.02889658279993725,0.08210388025971364,0.503798162802677,0.503798162802677,higher_more_failure,3621
mixtral,margin_diff_std,0.1999829597492305,5.548371619317974e-34,0.6129811711303752,0.6129811711303752,higher_more_failure,3621
mixtral,margin_early_late_delta,0.28088197999172726,1.2831086082765057e-66,0.6829078571261634,0.6829078571261634,higher_more_failure,3620
mixtral,margin_mean,-0.15228537957687732,3.131425253492817e-20,0.403332737675812,0.596667262324188,lower_more_failure,3621
mixtral,margin_min,-0.130842231826131,2.686177691995846e-15,0.4391021410503473,0.5608978589496527,lower_more_failure,3621
mixtral,margin_range,0.13084223182613094,2.6861776919961378e-15,0.5608978589496527,0.5608978589496527,higher_more_failure,3621
mixtral,margin_slope,0.041758895440283154,0.011968915559571658,0.613583259045364,0.613583259045364,higher_more_failure,3621
mixtral,margin_std,0.1859288188293711,1.59454751491778e-29,0.6035332305824108,0.6035332305824108,higher_more_failure,3621
mixtral,max_compound_severity,0.08345586543075026,4.931056157567071e-07,0.5188002712949256,0.5188002712949256,higher_more_failure,3621
mixtral,n_compound_signals,0.08345586543075019,4.931056157567071e-07,0.5188002712949256,0.5188002712949256,higher_more_failure,3621
mixtral,n_warning_signals,-0.18435969705054708,4.7760919033733934e-29,0.4025639671873932,0.5974360328126068,lower_more_failure,3621
