model,signal,best_outcome,best_pp,mean_other_pp,specificity_gap,pp_correct,pp_incorrect,pp_format_failure,dir_correct,dir_incorrect,dir_format_failure
mistral7b,entropy_std,correct,0.5594136057631187,0.5124754136868044,0.04693819207631433,0.5594136057631187,0.5246823657078223,0.5002684616657865,lower,higher,lower
mistral7b,failure_risk,correct,0.5013047558368626,0.5002712083817898,0.0010335474550727808,0.5013047558368626,0.5003981757628782,0.5001442410007015,lower,higher,higher
mistral7b,focused_head_mean,incorrect,0.7206479812065874,0.6446447924307597,0.07600318877582768,0.6033667183277961,0.7206479812065874,0.6859228665337231,higher,lower,higher
mistral7b,focused_head_mean_zscore,incorrect,0.7206479812065874,0.6446447924307597,0.07600318877582768,0.6033667183277961,0.7206479812065874,0.6859228665337231,higher,lower,higher
mistral7b,focused_head_rate,incorrect,0.7206479812065874,0.6446447924307597,0.07600318877582768,0.6033667183277961,0.7206479812065874,0.6859228665337231,higher,lower,higher
mistral7b,hidden_max_abs_last_layer_mean,incorrect,0.8965205238760448,0.7281182321900219,0.16840229168602283,0.574301270364075,0.8965205238760448,0.881935194015969,lower,higher,lower
mistral7b,hidden_max_abs_last_layer_mean_zscore,incorrect,0.8965205238760448,0.7281182321900219,0.16840229168602283,0.574301270364075,0.8965205238760448,0.881935194015969,lower,higher,lower
mistral7b,hidden_std_last_layer_mean,correct,0.5353165916000326,0.5261278062265478,0.009188785373484887,0.5353165916000326,0.5329845418380614,0.5192710706150342,lower,higher,lower
mistral7b,hidden_std_last_layer_mean_zscore,correct,0.5353165916000326,0.5261278062265478,0.009188785373484887,0.5353165916000326,0.5329845418380614,0.5192710706150342,lower,higher,lower
mistral7b,high_entropy_frac,incorrect,0.5495074765203185,0.5297042419191348,0.019803234601183717,0.5135593930294953,0.5495074765203185,0.5458490908087743,lower,higher,lower
mistral7b,high_entropy_steps,incorrect,0.5497799761698755,0.530015841373148,0.01976413479672756,0.5141527978947539,0.5497799761698755,0.5458788848515421,lower,higher,lower
mistral7b,l2_norm_cross_layer_max,incorrect,0.8749465272306302,0.72196276714108,0.15298376008955017,0.5921724937922135,0.8749465272306302,0.8517530404899465,lower,higher,lower
mistral7b,l2_norm_cross_layer_max_zscore,incorrect,0.8749465272306302,0.72196276714108,0.15298376008955017,0.5921724937922135,0.8749465272306302,0.8517530404899465,lower,higher,lower
mistral7b,l2_norm_last_layer_mean,correct,0.5358383469614364,0.526661976924772,0.009176370036664383,0.5358383469614364,0.5336168497832088,0.5197071040663351,lower,higher,lower
mistral7b,l2_norm_last_layer_mean_zscore,correct,0.5358383469614364,0.526661976924772,0.009176370036664383,0.5358383469614364,0.5336168497832088,0.5197071040663351,lower,higher,lower
mistral7b,l2_norm_slope,format_failure,0.6950467797999542,0.596789141058502,0.09825763874145221,0.5113467093771197,0.6822315727398842,0.6950467797999542,lower,lower,higher
mistral7b,late50p_entropy_mean,format_failure,0.6395794153116158,0.580018251391085,0.05956116392053079,0.5446424175350955,0.6153940852470744,0.6395794153116158,lower,lower,higher
mistral7b,late50p_margin_mean,format_failure,0.6473179844093607,0.5830490101077009,0.06426897430165979,0.542343754478094,0.6237542657373079,0.6473179844093607,higher,higher,lower
