model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
llama,format_failure,l2_norm_slope,0.4602977046029346,0.5397022953970654,lower,3640,359
llama,format_failure,late50p_entropy_mean,0.5581379751230814,0.5581379751230814,higher,3640,359
llama,format_failure,late50p_margin_mean,0.42483990291023105,0.575160097089769,lower,3640,359
llama,format_failure,late50p_surprisal_mean,0.5559467483502125,0.5559467483502125,higher,3640,359
llama,format_failure,margin_diff_std,0.6481718410804505,0.6481718410804505,higher,3640,359
llama,format_failure,margin_early_late_delta,0.6444201823786654,0.6444201823786654,higher,3640,359
llama,format_failure,margin_mean,0.3361194146427604,0.6638805853572396,lower,3640,359
llama,format_failure,margin_min,0.42780243131934603,0.572197568680654,lower,3640,359
llama,format_failure,margin_range,0.572197568680654,0.572197568680654,higher,3640,359
llama,format_failure,margin_slope,0.635260497894945,0.635260497894945,higher,3640,359
llama,format_failure,margin_std,0.6576609312161946,0.6576609312161946,higher,3640,359
llama,format_failure,max_compound_severity,0.4930302688136897,0.5069697311863103,lower,3640,359
llama,format_failure,n_compound_signals,0.4930302688136897,0.5069697311863103,lower,3640,359
llama,format_failure,n_warning_signals,0.5062485195847791,0.5062485195847791,higher,3640,359
llama,format_failure,perplexity_max,0.40293570052611516,0.5970642994738848,lower,3640,359
llama,format_failure,perplexity_mean,0.5944498543568567,0.5944498543568567,higher,3640,359
llama,format_failure,repetition_detected,0.4989332520572996,0.5010667479427005,lower,3640,359
llama,format_failure,risk_score,0.5730953688791462,0.5730953688791462,higher,3640,359
llama,format_failure,risk_score_is_one,0.4987808594940567,0.5012191405059433,lower,3640,359
llama,format_failure,risk_score_is_zero,0.4987808594940567,0.5012191405059433,lower,3640,359
llama,format_failure,surprisal_diff_std,0.5729094414621536,0.5729094414621536,higher,3640,359
llama,format_failure,surprisal_early_late_delta,0.3706908774161013,0.6293091225838987,lower,3640,359
llama,format_failure,surprisal_max,0.4600523483311953,0.5399476516688047,lower,3640,359
llama,format_failure,surprisal_mean,0.6296750345324096,0.6296750345324096,higher,3640,359
llama,format_failure,surprisal_p90,0.6488247094990233,0.6488247094990233,higher,3640,359
llama,format_failure,surprisal_range,0.4600523483311953,0.5399476516688047,lower,3640,359
llama,format_failure,surprisal_slope,0.3771635286816388,0.6228364713183612,lower,3640,359
llama,format_failure,surprisal_std,0.5766891166240335,0.5766891166240335,higher,3640,359
llama,format_failure,surprisal_volatility,0.3570099333342333,0.6429900666657666,lower,3291,359
llama,format_failure,topk_mass_mean,0.5747271154337584,0.5747271154337584,higher,3640,359
llama,format_failure,topk_mass_std,0.4024025388006748,0.5975974611993252,lower,3640,359
llama,format_failure,warning_density_per_100t,0.5031038841850479,0.5031038841850479,higher,3640,359
mistral7b,correct,attn_entropy_norm_mean,0.5858710117865271,0.5858710117865271,higher,3640,423
mistral7b,correct,attn_entropy_norm_std,0.4933321869412717,0.5066678130587283,lower,3640,423
mistral7b,correct,collapsed_rate_mean,0.46817843445466645,0.5318215655453336,lower,3640,423
mistral7b,correct,collapsed_rate_mean_zscore,0.46817843445466645,0.5318215655453336,lower,3640,423
