model,dataset,signal,predictive_power_in_confident,confident_correct_mean,confident_wrong_mean,delta,n_confident_correct,n_confident_wrong
mixtral,gsm8k,early25p_entropy_slope,0.5625763125763126,-0.007467646496532462,-0.008413442729456513,-0.0009457962329240503,126,26
mixtral,gsm8k,early25p_margin_mean,0.589133089133089,0.8500265206234846,0.862558401062657,0.012531880439172416,126,26
mixtral,gsm8k,early25p_margin_slope,0.5931013431013431,0.0021974177068218095,0.003005902650441767,0.0008084849436199573,126,26
mixtral,gsm8k,early25p_surprisal_mean,0.5067155067155067,0.3361359822036109,0.3306422978057387,-0.005493684397872178,126,26
mixtral,gsm8k,early25p_surprisal_slope,0.5970695970695971,-0.007349211292020452,-0.009322458438476854,-0.0019732471464564026,126,26
mixtral,gsm8k,early50p_entropy_mean,0.5115995115995116,0.2187713759731277,0.21972433561850246,0.0009529596453747569,126,26
mixtral,gsm8k,early50p_entropy_slope,0.5695970695970696,-0.0042743438681195865,-0.0037470875498316816,0.000527256318287905,126,26
mixtral,gsm8k,early50p_margin_mean,0.5015262515262515,0.8996077658484849,0.9003735625291868,0.000765796680701869,126,26
mixtral,gsm8k,early50p_margin_slope,0.5891330891330891,0.0016526857140796837,0.0013630012924874164,-0.0002896844215922673,126,26
mixtral,gsm8k,early50p_surprisal_mean,0.5283882783882784,0.21451875796063452,0.21775040759300712,0.003231649632372602,126,26
mixtral,gsm8k,early50p_surprisal_slope,0.5079365079365079,-0.004217927500402677,-0.0042022940690891455,1.5633431313531905e-05,126,26
mixtral,gsm8k,entropy_diff_std,0.5937118437118437,0.5424369463790629,0.5632378947198204,0.02080094834075752,126,26
mixtral,gsm8k,entropy_early_late_delta,0.5818070818070817,-0.24308548902793298,-0.20791516082278919,0.03517032820514379,126,26
mixtral,gsm8k,entropy_max,0.5245726495726496,2.8657678809259113,2.91328418605119,0.04751630512527871,126,26
mixtral,gsm8k,entropy_mean,0.6599511599511599,0.14992886226560506,0.1618753735400532,0.011946511274448152,126,26
mixtral,gsm8k,entropy_p90,0.6088217338217339,0.6116031673024435,0.6698552205615722,0.058252053259128744,126,26
mixtral,gsm8k,entropy_range,0.5245726495726496,2.8657678809259113,2.91328418605119,0.04751630512527871,126,26
mixtral,gsm8k,entropy_range_approx,0.5235042735042734,2.7158390186603056,2.7514088125111367,0.03556979385083103,126,26
mixtral,gsm8k,entropy_slope,0.5555555555555556,-0.001379922645499036,-0.0011545659610760915,0.00022535668442294444,126,26
mixtral,gsm8k,entropy_std,0.5637973137973138,0.42527924852657034,0.43461862836273724,0.009339379836166894,126,26
mixtral,gsm8k,focused_head_mean,0.5934065934065933,3.3289208548864067,3.3004445292968687,-0.028476325589537943,126,26
