model,dataset,signal,direction,random_acc,signal_acc,oracle_acc,lift_vs_random,lift_vs_oracle,n_prompts,n_ties,tie_rate
mistral7b,humaneval,concentration_max_mean,lower_better,0.1599999999999999,0.2153846153846154,1.0,0.055384615384615504,-0.7846153846153846,65,0,0.0
mistral7b,humaneval,concentration_min_mean,higher_better,0.1599999999999999,0.09230769230769231,1.0,-0.06769230769230758,-0.9076923076923077,65,3,0.046153846153846156
mistral7b,humaneval,cs_confident_repetition_risk,higher_better,0.1599999999999999,0.16076923076923064,1.0,0.0007692307692307443,-0.8392307692307693,65,65,1.0
mistral7b,humaneval,early10_entropy_mean,lower_better,0.1599999999999999,0.26153846153846155,1.0,0.10153846153846166,-0.7384615384615385,65,18,0.27692307692307694
mistral7b,humaneval,early10_entropy_slope,higher_better,0.1599999999999999,0.35384615384615387,1.0,0.19384615384615397,-0.6461538461538461,65,7,0.1076923076923077
mistral7b,humaneval,early10_margin_mean,lower_better,0.1599999999999999,0.2923076923076923,1.0,0.13230769230769243,-0.7076923076923076,65,1,0.015384615384615385
mistral7b,humaneval,early10_margin_slope,lower_better,0.1599999999999999,0.3230769230769231,1.0,0.1630769230769232,-0.676923076923077,65,8,0.12307692307692308
mistral7b,humaneval,early10_surprisal_mean,higher_better,0.1599999999999999,0.38461538461538464,1.0,0.22461538461538474,-0.6153846153846154,65,1,0.015384615384615385
mistral7b,humaneval,early10_surprisal_slope,lower_better,0.1599999999999999,0.47692307692307695,1.0,0.3169230769230771,-0.523076923076923,65,1,0.015384615384615385
mistral7b,humaneval,early25p_entropy_mean,higher_better,0.1599999999999999,0.2923076923076923,1.0,0.13230769230769243,-0.7076923076923076,65,0,0.0
mistral7b,humaneval,early25p_entropy_slope,lower_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,3,0.046153846153846156
mistral7b,humaneval,early25p_margin_mean,lower_better,0.1599999999999999,0.35384615384615387,1.0,0.19384615384615397,-0.6461538461538461,65,0,0.0
mistral7b,humaneval,early25p_margin_slope,higher_better,0.1599999999999999,0.1076923076923077,1.0,-0.052307692307692194,-0.8923076923076922,65,3,0.046153846153846156
mistral7b,humaneval,early25p_surprisal_mean,higher_better,0.1599999999999999,0.35384615384615387,1.0,0.19384615384615397,-0.6461538461538461,65,0,0.0
mistral7b,humaneval,early25p_surprisal_slope,lower_better,0.1599999999999999,0.3230769230769231,1.0,0.1630769230769232,-0.676923076923077,65,0,0.0
mistral7b,humaneval,early50p_entropy_mean,higher_better,0.1599999999999999,0.2,1.0,0.04000000000000012,-0.8,65,1,0.015384615384615385
mistral7b,humaneval,early50p_entropy_slope,lower_better,0.1599999999999999,0.26153846153846155,1.0,0.10153846153846166,-0.7384615384615385,65,1,0.015384615384615385
mistral7b,humaneval,early50p_margin_mean,lower_better,0.1599999999999999,0.2153846153846154,1.0,0.055384615384615504,-0.7846153846153846,65,0,0.0
mistral7b,humaneval,early50p_margin_slope,higher_better,0.1599999999999999,0.23076923076923078,1.0,0.07076923076923089,-0.7692307692307692,65,1,0.015384615384615385
mistral7b,humaneval,early50p_surprisal_mean,higher_better,0.1599999999999999,0.27692307692307694,1.0,0.11692307692307705,-0.7230769230769231,65,0,0.0
mistral7b,humaneval,early50p_surprisal_slope,lower_better,0.1599999999999999,0.3230769230769231,1.0,0.1630769230769232,-0.676923076923077,65,0,0.0
mistral7b,humaneval,entropy_diff_std,lower_better,0.1599999999999999,0.16923076923076924,1.0,0.009230769230769348,-0.8307692307692307,65,2,0.03076923076923077
mistral7b,humaneval,entropy_early_late_delta,lower_better,0.1599999999999999,0.26153846153846155,1.0,0.10153846153846166,-0.7384615384615385,65,0,0.0
mistral7b,humaneval,entropy_max,lower_better,0.1599999999999999,0.2692307692307692,1.0,0.10923076923076933,-0.7307692307692308,65,20,0.3076923076923077
mistral7b,humaneval,entropy_mean,lower_better,0.1599999999999999,0.2153846153846154,1.0,0.055384615384615504,-0.7846153846153846,65,2,0.03076923076923077
mistral7b,humaneval,entropy_p90,lower_better,0.1599999999999999,0.2153846153846154,1.0,0.055384615384615504,-0.7846153846153846,65,1,0.015384615384615385
mistral7b,humaneval,entropy_range,lower_better,0.1599999999999999,0.2692307692307692,1.0,0.10923076923076933,-0.7307692307692308,65,20,0.3076923076923077
mistral7b,humaneval,entropy_range_approx,lower_better,0.1599999999999999,0.23076923076923078,1.0,0.07076923076923089,-0.7692307692307692,65,2,0.03076923076923077
mistral7b,humaneval,entropy_slope,lower_better,0.1599999999999999,0.18461538461538463,1.0,0.024615384615384733,-0.8153846153846154,65,2,0.03076923076923077
mistral7b,humaneval,entropy_std,lower_better,0.1599999999999999,0.18461538461538463,1.0,0.024615384615384733,-0.8153846153846154,65,2,0.03076923076923077
mistral7b,humaneval,failure_risk,lower_better,0.1599999999999999,0.16123931623931614,1.0,0.0012393162393162516,-0.8387606837606838,65,65,1.0
mistral7b,humaneval,focused_head_mean,higher_better,0.1599999999999999,0.09230769230769231,1.0,-0.06769230769230758,-0.9076923076923077,65,3,0.046153846153846156
mistral7b,humaneval,focused_head_mean_zscore,higher_better,0.1599999999999999,0.09230769230769231,1.0,-0.06769230769230758,-0.9076923076923077,65,3,0.046153846153846156
mistral7b,humaneval,focused_head_rate,higher_better,0.1599999999999999,0.09230769230769231,1.0,-0.06769230769230758,-0.9076923076923077,65,3,0.046153846153846156
mistral7b,humaneval,hidden_max_abs_last_layer_mean,lower_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,1,0.015384615384615385
mistral7b,humaneval,hidden_max_abs_last_layer_mean_zscore,lower_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,1,0.015384615384615385
mistral7b,humaneval,hidden_std_last_layer_mean,lower_better,0.1599999999999999,0.12307692307692308,1.0,-0.03692307692307681,-0.8769230769230769,65,1,0.015384615384615385
mistral7b,humaneval,hidden_std_last_layer_mean_zscore,lower_better,0.1599999999999999,0.12307692307692308,1.0,-0.03692307692307681,-0.8769230769230769,65,1,0.015384615384615385
mistral7b,humaneval,high_entropy_frac,higher_better,0.1599999999999999,0.2092307692307692,1.0,0.0492307692307693,-0.7907692307692308,65,21,0.3230769230769231
mistral7b,humaneval,high_entropy_steps,higher_better,0.1599999999999999,0.23615384615384613,1.0,0.07615384615384624,-0.7638461538461538,65,31,0.47692307692307695
mistral7b,humaneval,l2_norm_cross_layer_max,lower_better,0.1599999999999999,0.26153846153846155,1.0,0.10153846153846166,-0.7384615384615385,65,1,0.015384615384615385
mistral7b,humaneval,l2_norm_cross_layer_max_zscore,lower_better,0.1599999999999999,0.26153846153846155,1.0,0.10153846153846166,-0.7384615384615385,65,1,0.015384615384615385
mistral7b,humaneval,l2_norm_last_layer_mean,lower_better,0.1599999999999999,0.12307692307692308,1.0,-0.03692307692307681,-0.8769230769230769,65,1,0.015384615384615385
mistral7b,humaneval,l2_norm_last_layer_mean_zscore,lower_better,0.1599999999999999,0.12307692307692308,1.0,-0.03692307692307681,-0.8769230769230769,65,1,0.015384615384615385
mistral7b,humaneval,l2_norm_slope,lower_better,0.1599999999999999,0.16923076923076924,1.0,0.009230769230769348,-0.8307692307692307,65,2,0.03076923076923077
mistral7b,humaneval,late50p_entropy_mean,lower_better,0.1599999999999999,0.11153846153846154,1.0,-0.04846153846153835,-0.8884615384615384,65,2,0.03076923076923077
mistral7b,humaneval,late50p_margin_mean,higher_better,0.1599999999999999,0.08076923076923077,1.0,-0.07923076923076912,-0.9192307692307692,65,2,0.03076923076923077
mistral7b,humaneval,late50p_surprisal_mean,lower_better,0.1599999999999999,0.18846153846153846,1.0,0.028461538461538566,-0.8115384615384615,65,2,0.03076923076923077
mistral7b,humaneval,margin_diff_std,higher_better,0.1599999999999999,0.23076923076923078,1.0,0.07076923076923089,-0.7692307692307692,65,0,0.0
mistral7b,humaneval,margin_early_late_delta,higher_better,0.1599999999999999,0.26153846153846155,1.0,0.10153846153846166,-0.7384615384615385,65,0,0.0
mistral7b,humaneval,margin_mean,lower_better,0.1599999999999999,0.16923076923076924,1.0,0.009230769230769348,-0.8307692307692307,65,0,0.0
mistral7b,humaneval,margin_min,higher_better,0.1599999999999999,0.08461538461538462,1.0,-0.07538461538461527,-0.9153846153846154,65,11,0.16923076923076924
mistral7b,humaneval,margin_range,lower_better,0.1599999999999999,0.08461538461538462,1.0,-0.07538461538461527,-0.9153846153846154,65,11,0.16923076923076924
mistral7b,humaneval,margin_slope,higher_better,0.1599999999999999,0.2,1.0,0.04000000000000012,-0.8,65,1,0.015384615384615385
mistral7b,humaneval,margin_std,higher_better,0.1599999999999999,0.23076923076923078,1.0,0.07076923076923089,-0.7692307692307692,65,0,0.0
mistral7b,humaneval,max_compound_severity,higher_better,0.1599999999999999,0.16076923076923064,1.0,0.0007692307692307443,-0.8392307692307693,65,65,1.0
mistral7b,humaneval,n_compound_signals,higher_better,0.1599999999999999,0.16076923076923064,1.0,0.0007692307692307443,-0.8392307692307693,65,65,1.0
mistral7b,humaneval,n_warning_signals,higher_better,0.1599999999999999,0.18710622710622704,1.0,0.02710622710622715,-0.812893772893773,65,62,0.9538461538461539
mistral7b,humaneval,perplexity_max,lower_better,0.1599999999999999,0.2692307692307692,1.0,0.10923076923076933,-0.7307692307692308,65,20,0.3076923076923077
mistral7b,humaneval,perplexity_mean,lower_better,0.1599999999999999,0.15384615384615385,1.0,-0.006153846153846038,-0.8461538461538461,65,2,0.03076923076923077
mistral7b,humaneval,risk_score,higher_better,0.1599999999999999,0.16076923076923064,1.0,0.0007692307692307443,-0.8392307692307693,65,65,1.0
mistral7b,humaneval,risk_score_is_one,higher_better,0.1599999999999999,0.16076923076923064,1.0,0.0007692307692307443,-0.8392307692307693,65,65,1.0
