model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
mistral7b,humaneval,entropy_p90,0.8352740192174601,0.9750358311497097,0.13976181193224957
mistral7b,humaneval,entropy_range,2.8739961591143137,3.265836269263262,0.3918401101489484
mistral7b,humaneval,entropy_range_approx,2.6505375329994063,2.992647601993023,0.3421100689936165
mistral7b,humaneval,entropy_slope,-0.003256862418083396,-0.003990199750849238,-0.0007333373327658415
mistral7b,humaneval,entropy_std,0.510791802363783,0.5857724779905545,0.07498067562677158
mistral7b,humaneval,failure_risk,0.6004878048780486,0.6004878048780486,0.0
mistral7b,humaneval,failure_risk_is_one,0.0,0.0,0.0
mistral7b,humaneval,failure_risk_is_zero,0.0,0.0,0.0
mistral7b,humaneval,focused_head_mean,0.7235034969900526,0.7058169450501954,-0.01768655193985713
mistral7b,humaneval,focused_head_mean_zscore,-0.13105395430930677,-0.25630060101034635,-0.12524664670103958
mistral7b,humaneval,focused_head_rate,0.022609484280939143,0.022056779532818607,-0.0005527047481205354
mistral7b,humaneval,hidden_max_abs_last_layer_mean,100.66773855040626,100.53197584807702,-0.13576270232923093
mistral7b,humaneval,hidden_max_abs_last_layer_mean_zscore,0.9327604295473135,0.9227631373385617,-0.009997292208751785
mistral7b,humaneval,hidden_std_last_layer_mean,5.622229082914461,5.628850502501779,0.006621419587317767
mixtral,gsm8k,attention_collapse_detected,0.0026666666666666666,0.0,-0.0026666666666666666
mixtral,gsm8k,attn_entropy_norm_mean,0.39734406717505916,0.397476692471366,0.00013262529630686526
mixtral,gsm8k,attn_entropy_norm_std,0.09574375437874223,0.09582485028326151,8.109590451928217e-05
mixtral,gsm8k,collapsed_rate_mean,0.018221994320301253,0.018204052060755548,-1.794225954570433e-05
mixtral,gsm8k,collapsed_rate_mean_zscore,-0.6590106160909904,-0.6658341888893368,-0.0068235727983463335
mixtral,gsm8k,compound_density_per_100t,0.5278772262457656,0.48344655262149777,-0.044430673624267836
mixtral,gsm8k,concentration_max_mean,0.9395610874847036,0.9390849828953441,-0.00047610458935942734
mixtral,gsm8k,concentration_min_mean,0.1454208154373728,0.14398830754579148,-0.001432507891581336
mixtral,gsm8k,cs_attention_bottleneck,0.0,0.0,0.0
mixtral,gsm8k,cs_confident_confusion,0.0,0.0,0.0
mixtral,gsm8k,cs_confident_repetition_risk,0.9573333333333334,0.9634464751958225,0.006113141862489124
mixtral,gsm8k,cs_context_loss,0.0,0.0,0.0
mixtral,gsm8k,cs_degenerating_generation,0.0,0.0,0.0
mixtral,gsm8k,early10_entropy_mean,0.6302638130479755,0.7233494754787583,0.09308566243078276
mixtral,gsm8k,early10_entropy_slope,0.08390521038988208,0.10182173061149605,0.01791652022161397
mixtral,gsm8k,early10_margin_mean,0.7739823131561278,0.7402189124657652,-0.033763400690362544
mixtral,gsm8k,early10_margin_slope,-0.034545562201798566,-0.04435783387013313,-0.009812271668334566
mixtral,gsm8k,early10_surprisal_mean,0.7039064806131,0.6679678194929749,-0.035938661120125115
mixtral,gsm8k,early10_surprisal_slope,0.08793643919284923,0.11490893085936747,0.026972491666518245
mixtral,gsm8k,early25p_entropy_mean,0.4513560314659833,0.5233336990344462,0.07197766756846286
mixtral,gsm8k,early25p_entropy_slope,-0.006337395016059748,-0.005958614670820096,0.0003787803452396524
mixtral,gsm8k,early25p_margin_mean,0.8058100587001845,0.7816912817976505,-0.024118776902534056
mixtral,gsm8k,early25p_margin_slope,0.0012853337032286553,0.0012700067691797808,-1.5326934048874455e-05
mixtral,gsm8k,early25p_surprisal_mean,0.46980459629664056,0.5109367067712468,0.04113211047460624
mixtral,gsm8k,early25p_surprisal_slope,-0.007382865431056533,-0.004858962047246874,0.0025239033838096595
mixtral,gsm8k,early50p_entropy_mean,0.3275961800613501,0.39844333436811963,0.07084715430676952
mixtral,gsm8k,early50p_entropy_slope,-0.005011818036210674,-0.0047901898663239885,0.0002216281698866852
mixtral,gsm8k,early50p_margin_mean,0.8522954783850774,0.826453227230342,-0.025842251154735374
