model,dataset,question_id,signal,n_runs,std_across_runs,range_across_runs
llama,gsm8k,gsm8k_0188,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0189,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0190,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0191,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0192,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0193,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0194,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0195,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0196,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0197,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0198,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0199,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0000,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0001,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0002,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0003,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0004,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0005,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0006,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0007,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0008,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0009,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0010,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0011,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0012,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0013,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0014,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0015,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0016,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0017,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0018,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0019,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0020,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0021,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0022,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0023,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0024,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0025,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0026,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0027,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0028,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0029,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0030,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0031,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0032,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0033,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0034,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0035,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0036,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0037,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0038,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0039,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0040,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0041,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0042,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0043,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0044,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0045,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0046,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0047,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0048,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0049,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0050,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0051,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0052,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0053,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0054,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0055,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0056,prompt_surprisal_mean,10,2.340555645717801e-16,0.0
llama,humaneval,he_0057,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0058,prompt_surprisal_mean,10,0.0,0.0
llama,humaneval,he_0059,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,humaneval,he_0060,prompt_surprisal_mean,10,0.0,0.0
