model,dataset,tier,fold,auroc,splitter,n_prompt_groups
qwen,humaneval,T1: entropy_only,2,0.6922713926174497,StratifiedGroupKFold,164
qwen,humaneval,T1: entropy_only,3,0.6697138314785372,StratifiedGroupKFold,164
qwen,humaneval,T1: entropy_only,4,0.6661494252873563,StratifiedGroupKFold,164
qwen,humaneval,T2: confidence_baseline,0,0.667964244521338,StratifiedGroupKFold,164
qwen,humaneval,T2: confidence_baseline,1,0.74609375,StratifiedGroupKFold,164
qwen,humaneval,T2: confidence_baseline,2,0.7615876677852349,StratifiedGroupKFold,164
qwen,humaneval,T2: confidence_baseline,3,0.6933127980922098,StratifiedGroupKFold,164
qwen,humaneval,T2: confidence_baseline,4,0.7994827586206897,StratifiedGroupKFold,164
qwen,humaneval,T3: + prompt_signals,0,0.6578239138792772,StratifiedGroupKFold,164
qwen,humaneval,T3: + prompt_signals,1,0.776584201388889,StratifiedGroupKFold,164
qwen,humaneval,T3: + prompt_signals,2,0.7492135067114094,StratifiedGroupKFold,164
qwen,humaneval,T3: + prompt_signals,3,0.6834260731319555,StratifiedGroupKFold,164
qwen,humaneval,T3: + prompt_signals,4,0.7996551724137931,StratifiedGroupKFold,164
qwen,humaneval,T4: + early_window,0,0.8056516724336795,StratifiedGroupKFold,164
qwen,humaneval,T4: + early_window,1,0.8082682291666666,StratifiedGroupKFold,164
qwen,humaneval,T4: + early_window,2,0.8621015100671141,StratifiedGroupKFold,164
qwen,humaneval,T4: + early_window,3,0.8641693163751988,StratifiedGroupKFold,164
qwen,humaneval,T4: + early_window,4,0.9142528735632184,StratifiedGroupKFold,164
qwen,humaneval,T5: + health_signals,0,0.832468281430219,StratifiedGroupKFold,164
qwen,humaneval,T5: + health_signals,1,0.7902560763888888,StratifiedGroupKFold,164
qwen,humaneval,T5: + health_signals,2,0.8551803691275168,StratifiedGroupKFold,164
qwen,humaneval,T5: + health_signals,3,0.8599960254372019,StratifiedGroupKFold,164
qwen,humaneval,T5: + health_signals,4,0.9001149425287357,StratifiedGroupKFold,164
qwen,humaneval,T6: full_corevital,0,0.9106113033448673,StratifiedGroupKFold,164
qwen,humaneval,T6: full_corevital,1,0.8990885416666666,StratifiedGroupKFold,164
qwen,humaneval,T6: full_corevital,2,0.9210360738255033,StratifiedGroupKFold,164
qwen,humaneval,T6: full_corevital,3,0.8972575516693164,StratifiedGroupKFold,164
qwen,humaneval,T6: full_corevital,4,0.8743678160919541,StratifiedGroupKFold,164
